doctor_id,doctor_name,department_id,department_name,hospital_name,city,location_id,qualification,experience_years,consultation_mode
DOC0034,Dr. Ishaan Gupta,DEP0034,Pediatrics,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0034,DNB,22,in_person
DOC0035,Dr. Rohan Bhatia,DEP0035,Endocrinology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0035,MS,16,in_person
DOC0036,Dr. Kunal Chopra,DEP0036,Internal Medicine,"Max Hospital, Noida",gurugram,LOC0036,MD,30,in_person
DOC0037,Dr. Rahul Mishra,DEP0037,Neurology,"Max Hospital, Lucknow",lucknow,LOC0037,DM,20,teleconsult
DOC0038,Dr. Vikram Iyer,DEP0038,Neurosurgery,"Max Healthcare Partner Centre, Pune",pune,LOC0038,MS,26,teleconsult
DOC0039,Dr. Ananya Pillai,DEP0039,Urology,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0039,MCh,28,in_person
DOC0040,Dr. Diya Sharma,DEP0040,Nephrology,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0040,DM,27,teleconsult
DOC0041,Dr. Aisha Kapoor,DEP0041,Gastroenterology,"Max Super Speciality Hospital, Saket",delhi,LOC0041,DM,16,in_person
DOC0042,Dr. Kavya Singh,DEP0042,GI Surgery,"Max Super Speciality Hospital, Patparganj",noida,LOC0042,DNB,21,teleconsult
DOC0043,Dr. Sneha Agarwal,DEP0043,Cardiology,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0043,DNB,32,in_person
DOC0044,Dr. Meera Mehta,DEP0044,Cardiothoracic Surgery,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0044,MS,19,in_person
DOC0045,Dr. Priya Reddy,DEP0045,Orthopaedics,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0045,DM,32,in_person
DOC0046,Dr. Nisha Das,DEP0046,Oncology,"Max Hospital, Noida",pune,LOC0046,MS,17,teleconsult
DOC0047,Dr. Ritika Verma,DEP0047,Dental Sciences,"Max Hospital, Lucknow",Mumbai,LOC0047,MS,13,teleconsult
DOC0048,Dr. Pooja Malhotra,DEP0048,ENT,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0048,DNB,11,teleconsult
DOC0049,Dr. Sanjay Khanna,DEP0049,Pulmonology,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0049,DM,26,teleconsult
DOC0050,Dr. Rajiv Yadav,DEP0050,Dermatology,"Max Healthcare Partner Centre, Banguluru",noida,LOC0050,DM,11,in_person
DOC0051,Dr. Manoj Nair,DEP0051,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0051,MD,12,teleconsult
DOC0052,Dr. Amit Rao,DEP0052,Pediatrics,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0052,MCh,7,in_person
DOC0053,Dr. Suresh Saxena,DEP0053,Endocrinology,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0053,MCh,6,in_person
DOC0054,Dr. Neha Gupta,DEP0054,Internal Medicine,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0054,MD,17,in_person
DOC0055,Dr. Swati Bhatia,DEP0055,Neurology,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0055,DM,23,teleconsult
DOC0056,Dr. Shreya Chopra,DEP0056,Neurosurgery,"Max Hospital, Noida",Banguluru,LOC0056,DNB,17,in_person
DOC0057,Dr. Aarav Mishra,DEP0057,Urology,"Max Hospital, Lucknow",delhi,LOC0057,MD,22,teleconsult
DOC0058,Dr. Vivaan Iyer,DEP0058,Nephrology,"Max Healthcare Partner Centre, Pune",noida,LOC0058,DM,7,in_person
DOC0059,Dr. Aditya Pillai,DEP0059,Gastroenterology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0059,MCh,21,teleconsult
DOC0060,Dr. Arjun Sharma,DEP0060,GI Surgery,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0060,MS,9,in_person
DOC0061,Dr. Krishna Kapoor,DEP0061,Cardiology,"Max Super Speciality Hospital, Saket",lucknow,LOC0061,DNB,10,teleconsult
DOC0062,Dr. Ishaan Singh,DEP0062,Cardiothoracic Surgery,"Max Super Speciality Hospital, Patparganj",pune,LOC0062,MCh,17,in_person
DOC0063,Dr. Rohan Agarwal,DEP0063,Orthopaedics,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0063,MD,10,in_person
DOC0064,Dr. Kunal Mehta,DEP0064,Oncology,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0064,DNB,19,teleconsult
DOC0065,Dr. Rahul Reddy,DEP0065,Dental Sciences,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0065,MS,10,teleconsult
DOC0066,Dr. Vikram Das,DEP0066,ENT,"Max Hospital, Noida",noida,LOC0066,MD,11,teleconsult
DOC0067,Dr. Ananya Verma,DEP0067,Pulmonology,"Max Hospital, Lucknow",ghaziabad,LOC0067,MS,27,in_person
DOC0068,Dr. Diya Malhotra,DEP0068,Dermatology,"Max Healthcare Partner Centre, Pune",gurugram,LOC0068,MD,15,in_person
DOC0069,Dr. Aisha Khanna,DEP0069,Obstetrics and Gynaecology,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0069,MD,10,teleconsult
DOC0070,Dr. Kavya Yadav,DEP0070,Pediatrics,"Max Healthcare Partner Centre, Banguluru",pune,LOC0070,DNB,9,in_person
DOC0071,Dr. Sneha Nair,DEP0071,Endocrinology,"Max Super Speciality Hospital, Saket",Mumbai,LOC0071,MCh,7,teleconsult
DOC0072,Dr. Meera Rao,DEP0072,Internal Medicine,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0072,MS,31,in_person
DOC0073,Dr. Priya Saxena,DEP0073,Neurology,"Max Super Speciality Hospital, Vaishali",delhi,LOC0073,MCh,9,in_person
DOC0074,Dr. Nisha Gupta,DEP0074,Neurosurgery,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0074,MCh,20,in_person
DOC0075,Dr. Ritika Bhatia,DEP0075,Urology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0075,MD,11,teleconsult
DOC0076,Dr. Pooja Chopra,DEP0076,Nephrology,"Max Hospital, Noida",gurugram,LOC0076,DNB,7,in_person
DOC0077,Dr. Sanjay Mishra,DEP0077,Gastroenterology,"Max Hospital, Lucknow",lucknow,LOC0077,MS,23,teleconsult
DOC0078,Dr. Rajiv Iyer,DEP0078,GI Surgery,"Max Healthcare Partner Centre, Pune",pune,LOC0078,MD,32,in_person
DOC0079,Dr. Manoj Pillai,DEP0079,Cardiology,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0079,MCh,28,teleconsult
DOC0080,Dr. Amit Sharma,DEP0080,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0080,MCh,29,in_person
DOC0081,Dr. Suresh Kapoor,DEP0081,Orthopaedics,"Max Super Speciality Hospital, Saket",delhi,LOC0081,MS,17,in_person
DOC0082,Dr. Neha Singh,DEP0082,Oncology,"Max Super Speciality Hospital, Patparganj",noida,LOC0082,DNB,23,in_person
DOC0083,Dr. Swati Agarwal,DEP0083,Dental Sciences,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0083,DM,7,teleconsult
DOC0084,Dr. Shreya Mehta,DEP0084,ENT,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0084,MD,18,in_person
DOC0085,Dr. Aarav Reddy,DEP0085,Pulmonology,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0085,DNB,13,teleconsult
DOC0086,Dr. Vivaan Das,DEP0086,Dermatology,"Max Hospital, Noida",pune,LOC0086,MCh,25,teleconsult
DOC0087,Dr. Aditya Verma,DEP0087,Obstetrics and Gynaecology,"Max Hospital, Lucknow",Mumbai,LOC0087,DM,9,in_person
DOC0088,Dr. Arjun Malhotra,DEP0088,Pediatrics,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0088,MS,26,in_person
DOC0089,Dr. Krishna Khanna,DEP0089,Endocrinology,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0089,MD,6,in_person
DOC0090,Dr. Ishaan Yadav,DEP0090,Internal Medicine,"Max Healthcare Partner Centre, Banguluru",noida,LOC0090,DNB,30,in_person
DOC0091,Dr. Rohan Nair,DEP0091,Neurology,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0091,DNB,30,in_person
DOC0092,Dr. Kunal Rao,DEP0092,Neurosurgery,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0092,DM,20,in_person
DOC0093,Dr. Rahul Saxena,DEP0093,Urology,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0093,MCh,16,in_person
DOC0094,Dr. Vikram Gupta,DEP0094,Nephrology,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0094,DM,25,in_person
DOC0095,Dr. Ananya Bhatia,DEP0095,Gastroenterology,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0095,DM,29,teleconsult
DOC0096,Dr. Diya Chopra,DEP0096,GI Surgery,"Max Hospital, Noida",Banguluru,LOC0096,DM,6,in_person
DOC0097,Dr. Aisha Mishra,DEP0097,Cardiology,"Max Hospital, Lucknow",delhi,LOC0097,DM,13,teleconsult
DOC0098,Dr. Kavya Iyer,DEP0098,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Pune",noida,LOC0098,MCh,19,in_person
DOC0099,Dr. Sneha Pillai,DEP0099,Orthopaedics,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0099,DM,28,in_person
DOC0100,Dr. Meera Sharma,DEP0100,Oncology,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0100,MCh,29,in_person
DOC0101,Dr. Priya Kapoor,DEP0101,Dental Sciences,"Max Super Speciality Hospital, Saket",lucknow,LOC0101,DNB,19,teleconsult
DOC0102,Dr. Nisha Singh,DEP0102,ENT,"Max Super Speciality Hospital, Patparganj",pune,LOC0102,DM,20,teleconsult
DOC0103,Dr. Ritika Agarwal,DEP0103,Pulmonology,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0103,DM,26,teleconsult
DOC0104,Dr. Pooja Mehta,DEP0104,Dermatology,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0104,DM,23,in_person
DOC0105,Dr. Sanjay Reddy,DEP0105,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0105,MD,6,in_person
DOC0106,Dr. Rajiv Das,DEP0106,Pediatrics,"Max Hospital, Noida",noida,LOC0106,MD,19,teleconsult
DOC0107,Dr. Manoj Verma,DEP0107,Endocrinology,"Max Hospital, Lucknow",ghaziabad,LOC0107,MD,26,in_person
DOC0108,Dr. Amit Malhotra,DEP0108,Internal Medicine,"Max Healthcare Partner Centre, Pune",gurugram,LOC0108,MCh,29,teleconsult
DOC0109,Dr. Suresh Khanna,DEP0109,Neurology,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0109,MD,7,in_person
DOC0110,Dr. Neha Yadav,DEP0110,Neurosurgery,"Max Healthcare Partner Centre, Banguluru",pune,LOC0110,DM,24,teleconsult
DOC0111,Dr. Swati Nair,DEP0111,Urology,"Max Super Speciality Hospital, Saket",Mumbai,LOC0111,MCh,30,teleconsult
DOC0112,Dr. Shreya Rao,DEP0112,Nephrology,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0112,DM,17,in_person
DOC0113,Dr. Aarav Saxena,DEP0113,Gastroenterology,"Max Super Speciality Hospital, Vaishali",delhi,LOC0113,DM,22,teleconsult
DOC0114,Dr. Vivaan Gupta,DEP0114,GI Surgery,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0114,DM,17,teleconsult
DOC0115,Dr. Aditya Bhatia,DEP0115,Cardiology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0115,DM,6,in_person
DOC0116,Dr. Arjun Chopra,DEP0116,Cardiothoracic Surgery,"Max Hospital, Noida",gurugram,LOC0116,MCh,16,in_person
DOC0117,Dr. Krishna Mishra,DEP0117,Orthopaedics,"Max Hospital, Lucknow",lucknow,LOC0117,DM,23,in_person
DOC0118,Dr. Ishaan Iyer,DEP0118,Oncology,"Max Healthcare Partner Centre, Pune",pune,LOC0118,DNB,26,teleconsult
DOC0119,Dr. Rohan Pillai,DEP0119,Dental Sciences,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0119,MS,30,in_person
DOC0120,Dr. Kunal Sharma,DEP0120,ENT,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0120,MD,26,in_person
DOC0121,Dr. Rahul Kapoor,DEP0121,Pulmonology,"Max Super Speciality Hospital, Saket",delhi,LOC0121,DNB,22,in_person
DOC0122,Dr. Vikram Singh,DEP0122,Dermatology,"Max Super Speciality Hospital, Patparganj",noida,LOC0122,MS,21,in_person
DOC0123,Dr. Ananya Agarwal,DEP0123,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0123,MCh,26,in_person
DOC0124,Dr. Diya Mehta,DEP0124,Pediatrics,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0124,MCh,23,in_person
DOC0125,Dr. Aisha Reddy,DEP0125,Endocrinology,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0125,DM,24,in_person
DOC0126,Dr. Kavya Das,DEP0126,Internal Medicine,"Max Hospital, Noida",pune,LOC0126,MCh,21,in_person
DOC0127,Dr. Sneha Verma,DEP0127,Neurology,"Max Hospital, Lucknow",Mumbai,LOC0127,MCh,10,teleconsult
DOC0128,Dr. Meera Malhotra,DEP0128,Neurosurgery,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0128,MCh,16,in_person
DOC0129,Dr. Priya Khanna,DEP0129,Urology,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0129,MCh,24,in_person
DOC0130,Dr. Nisha Yadav,DEP0130,Nephrology,"Max Healthcare Partner Centre, Banguluru",noida,LOC0130,MCh,10,teleconsult
DOC0131,Dr. Ritika Nair,DEP0131,Gastroenterology,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0131,MD,5,teleconsult
DOC0132,Dr. Pooja Rao,DEP0132,GI Surgery,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0132,DNB,19,in_person
DOC0133,Dr. Sanjay Saxena,DEP0133,Cardiology,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0133,DNB,31,teleconsult
DOC0134,Dr. Rajiv Gupta,DEP0134,Cardiothoracic Surgery,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0134,MCh,17,teleconsult
DOC0135,Dr. Manoj Bhatia,DEP0135,Orthopaedics,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0135,MCh,15,teleconsult
DOC0136,Dr. Amit Chopra,DEP0136,Oncology,"Max Hospital, Noida",Banguluru,LOC0136,MD,22,in_person
DOC0137,Dr. Suresh Mishra,DEP0137,Dental Sciences,"Max Hospital, Lucknow",delhi,LOC0137,MS,10,teleconsult
DOC0138,Dr. Neha Iyer,DEP0138,ENT,"Max Healthcare Partner Centre, Pune",noida,LOC0138,MS,12,in_person
DOC0139,Dr. Swati Pillai,DEP0139,Pulmonology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0139,MCh,32,teleconsult
DOC0140,Dr. Shreya Sharma,DEP0140,Dermatology,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0140,MCh,28,teleconsult
DOC0141,Dr. Aarav Kapoor,DEP0141,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Saket",lucknow,LOC0141,MCh,8,in_person
DOC0142,Dr. Vivaan Singh,DEP0142,Pediatrics,"Max Super Speciality Hospital, Patparganj",pune,LOC0142,MCh,31,in_person
DOC0143,Dr. Aditya Agarwal,DEP0143,Endocrinology,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0143,DNB,5,in_person
DOC0144,Dr. Arjun Mehta,DEP0144,Internal Medicine,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0144,MCh,32,in_person
DOC0145,Dr. Krishna Reddy,DEP0145,Neurology,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0145,DNB,32,in_person
DOC0146,Dr. Ishaan Das,DEP0146,Neurosurgery,"Max Hospital, Noida",noida,LOC0146,DM,21,in_person
DOC0147,Dr. Rohan Verma,DEP0147,Urology,"Max Hospital, Lucknow",ghaziabad,LOC0147,DM,9,teleconsult
DOC0148,Dr. Kunal Malhotra,DEP0148,Nephrology,"Max Healthcare Partner Centre, Pune",gurugram,LOC0148,MS,12,teleconsult
DOC0149,Dr. Rahul Khanna,DEP0149,Gastroenterology,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0149,DM,22,in_person
DOC0150,Dr. Vikram Yadav,DEP0150,GI Surgery,"Max Healthcare Partner Centre, Banguluru",pune,LOC0150,MS,31,teleconsult
DOC0151,Dr. Ananya Nair,DEP0151,Cardiology,"Max Super Speciality Hospital, Saket",Mumbai,LOC0151,MS,6,teleconsult
DOC0152,Dr. Diya Rao,DEP0152,Cardiothoracic Surgery,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0152,DM,5,teleconsult
DOC0153,Dr. Aisha Saxena,DEP0153,Orthopaedics,"Max Super Speciality Hospital, Vaishali",delhi,LOC0153,MCh,16,teleconsult
DOC0154,Dr. Kavya Gupta,DEP0154,Oncology,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0154,MCh,21,teleconsult
DOC0155,Dr. Sneha Bhatia,DEP0155,Dental Sciences,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0155,DM,25,teleconsult
DOC0156,Dr. Meera Chopra,DEP0156,ENT,"Max Hospital, Noida",gurugram,LOC0156,DNB,10,teleconsult
DOC0157,Dr. Priya Mishra,DEP0157,Pulmonology,"Max Hospital, Lucknow",lucknow,LOC0157,DM,21,teleconsult
DOC0158,Dr. Nisha Iyer,DEP0158,Dermatology,"Max Healthcare Partner Centre, Pune",pune,LOC0158,DNB,14,in_person
DOC0159,Dr. Ritika Pillai,DEP0159,Obstetrics and Gynaecology,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0159,MCh,28,teleconsult
DOC0160,Dr. Pooja Sharma,DEP0160,Pediatrics,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0160,MS,17,in_person
DOC0161,Dr. Sanjay Kapoor,DEP0161,Endocrinology,"Max Super Speciality Hospital, Saket",delhi,LOC0161,MS,14,teleconsult
DOC0162,Dr. Rajiv Singh,DEP0162,Internal Medicine,"Max Super Speciality Hospital, Patparganj",noida,LOC0162,MS,9,teleconsult
DOC0163,Dr. Manoj Agarwal,DEP0163,Neurology,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0163,MS,26,in_person
DOC0164,Dr. Amit Mehta,DEP0164,Neurosurgery,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0164,DM,24,in_person
DOC0165,Dr. Suresh Reddy,DEP0165,Urology,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0165,MD,6,in_person
DOC0166,Dr. Neha Das,DEP0166,Nephrology,"Max Hospital, Noida",pune,LOC0166,DNB,12,teleconsult
DOC0167,Dr. Swati Verma,DEP0167,Gastroenterology,"Max Hospital, Lucknow",Mumbai,LOC0167,MD,6,teleconsult
DOC0168,Dr. Shreya Malhotra,DEP0168,GI Surgery,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0168,MD,6,in_person
DOC0169,Dr. Aarav Khanna,DEP0169,Cardiology,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0169,MCh,17,teleconsult
DOC0170,Dr. Vivaan Yadav,DEP0170,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Banguluru",noida,LOC0170,MS,15,teleconsult
DOC0171,Dr. Aditya Nair,DEP0171,Orthopaedics,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0171,MCh,17,in_person
DOC0172,Dr. Arjun Rao,DEP0172,Oncology,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0172,DM,7,teleconsult
DOC0173,Dr. Krishna Saxena,DEP0173,Dental Sciences,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0173,MCh,20,in_person
DOC0174,Dr. Ishaan Gupta,DEP0174,ENT,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0174,MCh,23,teleconsult
DOC0175,Dr. Rohan Bhatia,DEP0175,Pulmonology,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0175,DM,13,teleconsult
DOC0176,Dr. Kunal Chopra,DEP0176,Dermatology,"Max Hospital, Noida",Banguluru,LOC0176,DNB,10,in_person
DOC0177,Dr. Rahul Mishra,DEP0177,Obstetrics and Gynaecology,"Max Hospital, Lucknow",delhi,LOC0177,MCh,15,teleconsult
DOC0178,Dr. Vikram Iyer,DEP0178,Pediatrics,"Max Healthcare Partner Centre, Pune",noida,LOC0178,MD,18,in_person
DOC0179,Dr. Ananya Pillai,DEP0179,Endocrinology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0179,DNB,23,teleconsult
DOC0180,Dr. Diya Sharma,DEP0180,Internal Medicine,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0180,MCh,12,in_person
DOC0181,Dr. Aisha Kapoor,DEP0181,Neurology,"Max Super Speciality Hospital, Saket",lucknow,LOC0181,DM,5,in_person
DOC0182,Dr. Kavya Singh,DEP0182,Neurosurgery,"Max Super Speciality Hospital, Patparganj",pune,LOC0182,MD,7,in_person
DOC0183,Dr. Sneha Agarwal,DEP0183,Urology,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0183,MS,18,in_person
DOC0184,Dr. Meera Mehta,DEP0184,Nephrology,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0184,DNB,7,in_person
DOC0185,Dr. Priya Reddy,DEP0185,Gastroenterology,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0185,MCh,22,teleconsult
DOC0186,Dr. Nisha Das,DEP0186,GI Surgery,"Max Hospital, Noida",noida,LOC0186,MD,10,teleconsult
DOC0187,Dr. Ritika Verma,DEP0187,Cardiology,"Max Hospital, Lucknow",ghaziabad,LOC0187,MD,29,in_person
DOC0188,Dr. Pooja Malhotra,DEP0188,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Pune",gurugram,LOC0188,DM,20,teleconsult
DOC0189,Dr. Sanjay Khanna,DEP0189,Orthopaedics,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0189,DM,12,teleconsult
DOC0190,Dr. Rajiv Yadav,DEP0190,Oncology,"Max Healthcare Partner Centre, Banguluru",pune,LOC0190,DM,31,teleconsult
DOC0191,Dr. Manoj Nair,DEP0191,Dental Sciences,"Max Super Speciality Hospital, Saket",Mumbai,LOC0191,MCh,25,teleconsult
DOC0192,Dr. Amit Rao,DEP0192,ENT,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0192,MCh,5,teleconsult
